EmployeeID,EmployeeName,StoreID,Department,HireDate,ManagerID
147,Employee 0147,13,Management,2024-01-30,
148,Employee 0148,20,Operations,2023-07-02,
149,Employee 0149,3,Sales,2018-08-19,
150,Employee 0150,15,Operations,2018-03-23,
151,Employee 0151,34,Management,2018-01-03,
152,Employee 0152,22,Operations,2019-06-19,
153,Employee 0153,22,Operations,2021-08-18,
154,Employee 0154,4,Sales,2019-08-29,
155,Employee 0155,38,Operations,2019-03-31,
156,Employee 0156,34,Customer Service,2018-10-25,
157,Employee 0157,24,Management,2024-07-28,
158,Employee 0158,7,Customer Service,2021-05-21,
159,Employee 0159,21,Operations,2019-10-08,
160,Employee 0160,47,Management,2023-06-19,
161,Employee 0161,42,Customer Service,2019-12-15,
162,Employee 0162,46,Customer Service,2020-07-03,
163,Employee 0163,43,Operations,2022-03-30,
164,Employee 0164,20,Customer Service,2019-06-06,
165,Employee 0165,12,Sales,2024-06-04,
166,Employee 0166,26,Sales,2020-01-16,
167,Employee 0167,39,Customer Service,2020-06-23,
168,Employee 0168,41,Sales,2023-07-26,
169,Employee 0169,10,Customer Service,2018-11-15,
170,Employee 0170,16,Customer Service,2021-08-01,
171,Employee 0171,11,Sales,2021-10-07,
172,Employee 0172,29,Sales,2020-12-22,
173,Employee 0173,14,Operations,2018-10-05,
174,Employee 0174,23,Customer Service,2019-03-19,
175,Employee 0175,47,Sales,2018-07-17,
176,Employee 0176,25,Management,2022-09-15,
177,Employee 0177,11,Management,2023-07-13,
178,Employee 0178,25,Customer Service,2024-02-15,
179,Employee 0179,25,Sales,2023-05-18,
180,Employee 0180,37,Operations,2019-10-29,
181,Employee 0181,29,Sales,2018-05-17,
182,Employee 0182,19,Sales,2021-07-29,
183,Employee 0183,17,Sales,2018-10-31,
184,Employee 0184,22,Operations,2022-03-18,
185,Employee 0185,11,Sales,2024-02-19,
186,Employee 0186,6,Customer Service,2024-08-30,
187,Employee 0187,40,Management,2018-05-07,
188,Employee 0188,28,Operations,2024-10-23,
189,Employee 0189,28,Operations,2018-08-08,
190,Employee 0190,7,Customer Service,2020-04-21,
191,Employee 0191,13,Management,2024-03-19,
192,Employee 0192,47,Customer Service,2021-02-27,
193,Employee 0193,20,Operations,2019-01-28,
194,Employee 0194,4,Management,2024-05-30,
195,Employee 0195,36,Management,2019-09-22,
196,Employee 0196,4,Customer Service,2018-01-16,
197,Employee 0197,28,Sales,2021-04-21,
198,Employee 0198,43,Management,2020-03-28,
199,Employee 0199,7,Sales,2020-04-27,
200,Employee 0200,11,Customer Service,2018-12-02,
201,Employee 0201,31,Sales,2021-06-17,
202,Employee 0202,26,Management,2023-06-27,
203,Employee 0203,43,Customer Service,2019-01-09,
204,Employee 0204,42,Management,2020-01-28,
205,Employee 0205,24,Management,2022-02-22,
206,Employee 0206,12,Management,2018-07-02,
207,Employee 0207,17,Management,2023-03-20,
208,Employee 0208,17,Operations,2021-01-05,
209,Employee 0209,37,Sales,2019-09-12,
210,Employee 0210,49,Sales,2018-12-18,
211,Employee 0211,43,Customer Service,2024-01-27,
212,Employee 0212,27,Operations,2024-03-17,
213,Employee 0213,4,Management,2023-11-11,
214,Employee 0214,27,Management,2024-06-03,
215,Employee 0215,16,Management,2021-05-09,
216,Employee 0216,6,Management,2018-05-23,
217,Employee 0217,33,Operations,2019-05-08,
218,Employee 0218,49,Management,2019-12-10,
219,Employee 0219,11,Operations,2020-02-29,
220,Employee 0220,9,Sales,2022-10-01,
221,Employee 0221,6,Management,2020-04-07,
222,Employee 0222,41,Operations,2024-09-03,
223,Employee 0223,17,Customer Service,2018-10-02,
224,Employee 0224,6,Management,2024-03-28,
225,Employee 0225,26,Customer Service,2021-02-05,
226,Employee 0226,34,Management,2018-02-20,
227,Employee 0227,45,Management,2019-04-06,
228,Employee 0228,27,Operations,2019-08-31,
229,Employee 0229,37,Sales,2019-03-09,
230,Employee 0230,37,Sales,2021-03-17,
231,Employee 0231,35,Customer Service,2022-08-11,
232,Employee 0232,17,Management,2023-06-12,
233,Employee 0233,37,Management,2018-06-03,
234,Employee 0234,12,Customer Service,2022-07-09,
235,Employee 0235,10,Management,2018-06-08,
236,Employee 0236,26,Customer Service,2020-08-31,
237,Employee 0237,4,Management,2021-01-05,
238,Employee 0238,24,Sales,2021-10-15,
239,Employee 0239,20,Customer Service,2021-02-22,
240,Employee 0240,32,Sales,2020-07-22,
241,Employee 0241,9,Customer Service,2022-12-20,
242,Employee 0242,50,Customer Service,2021-01-08,
243,Employee 0243,47,Management,2024-10-13,
244,Employee 0244,42,Sales,2020-02-09,
245,Employee 0245,29,Operations,2022-07-26,
246,Employee 0246,48,Management,2023-10-17,
247,Employee 0247,24,Sales,2023-10-12,
248,Employee 0248,11,Sales,2021-06-28,
249,Employee 0249,46,Management,2019-07-10,
250,Employee 0250,50,Sales,2019-12-13,
